,path,int_nr_COTS,annotations,kfold
0,../input/train_images/video_0/0.jpg,0,[],0.0
1,../input/train_images/video_0/1.jpg,0,[],0.0
2,../input/train_images/video_0/2.jpg,0,[],0.0
3,../input/train_images/video_0/3.jpg,0,[],0.0
4,../input/train_images/video_0/4.jpg,0,[],0.0
5,../input/train_images/video_0/5.jpg,0,[],0.0
6,../input/train_images/video_0/6.jpg,0,[],0.0
7,../input/train_images/video_0/7.jpg,0,[],0.0
8,../input/train_images/video_0/8.jpg,0,[],0.0
9,../input/train_images/video_0/9.jpg,0,[],0.0
10,../input/train_images/video_0/10.jpg,0,[],0.0
11,../input/train_images/video_0/11.jpg,0,[],0.0
12,../input/train_images/video_0/12.jpg,0,[],0.0
13,../input/train_images/video_0/13.jpg,0,[],0.0
14,../input/train_images/video_0/14.jpg,0,[],0.0
15,../input/train_images/video_0/15.jpg,0,[],0.0
16,../input/train_images/video_0/16.jpg,1,"[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]",0.0
17,../input/train_images/video_0/17.jpg,1,"[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]",0.0
18,../input/train_images/video_0/18.jpg,1,"[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]",0.0
19,../input/train_images/video_0/19.jpg,1,"[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]",0.0
20,../input/train_images/video_0/20.jpg,1,"[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]",0.0
21,../input/train_images/video_0/21.jpg,1,"[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]",1.0
22,../input/train_images/video_0/22.jpg,1,"[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]",1.0
23,../input/train_images/video_0/23.jpg,1,"[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]",1.0
24,../input/train_images/video_0/24.jpg,1,"[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]",1.0
